
HELLO IICS

FST info: dumpfile test.fst opened for output.
======================================
=         SIM started                =
= seed        = 1
= transaction = 100
= push_rate   = 50
======================================
tmp1 = 0x1; x = 5.960464477539062500000000000000e-08, tmp2 = 0x1
  324 ns sample          40 OK it match: a = 0xd008:-3.22500000000000000000e+01; b = 0xdebf:-4.31750000000000000000e+02; z = 0xdf40:-4.64000000000000000000e+02, expt = 0xdf40:-4.64000000000000000000e+02
  328 ns sample          41 OK it match: a = 0x36ab:4.16748046875000000000e-01; b = 0x27b0:3.00292968750000000000e-02; z = 0x3726:4.46777343750000000000e-01, expt = 0x3726:4.46777343750000000000e-01
  332 ns sample          42 OK it match: a = 0x8dd2:-3.55243682861328125000e-04; b = 0xc1da:-2.92578125000000000000e+00; z = 0xc1da:-2.92578125000000000000e+00, expt = 0xc1da:-2.92613649368286132812e+00
  336 ns sample          43 OK it match: a = 0xf0e4:-1.00160000000000000000e+04; b = 0xcc22:-1.65312500000000000000e+01; z = 0xf0e6:-1.00320000000000000000e+04, expt = 0xf0e6:-1.00325312500000000000e+04
  340 ns sample          44 OK it match: a = 0x1a3c:3.04412841796875000000e-03; b = 0x59e7:1.88875000000000000000e+02; z = 0x59e7:1.88875000000000000000e+02, expt = 0x59e7:1.88878044128417968750e+02
  344 ns sample          45 ERROR they don't match: a = 0xc0c6:-2.38671875000000000000e+00; b = 0x3bc8:9.72656250000000000000e-01; z = 0xc5a8:-5.65625000000000000000e+00, expt = 0xbda8:-1.41406250000000000000e+00
  348 ns sample          46 ERROR they don't match: a = 0xf45c:-1.78560000000000000000e+04; b = 0xf4cb:-1.96320000000000000000e+04; z = 0xf893:-3.74720000000000000000e+04, expt = 0xf894:-3.74880000000000000000e+04
  352 ns sample          47 OK it match: a = 0x85ec:-9.03606414794921875000e-05; b = 0x9727:-1.74617767333984375000e-03; z = 0x9786:-1.83677673339843750000e-03, expt = 0x9786:-1.83653831481933593750e-03
  356 ns sample          48 OK it match: a = 0x5a38:1.99000000000000000000e+02; b = 0x9cb3:-4.58908081054687500000e-03; z = 0x5a38:1.99000000000000000000e+02, expt = 0x5a38:1.98995410919189453125e+02
  360 ns sample          49 OK it match: a = 0xd9fe:-1.91750000000000000000e+02; b = 0xd05c:-3.48750000000000000000e+01; z = 0xdb15:-2.26625000000000000000e+02, expt = 0xdb15:-2.26625000000000000000e+02
  364 ns sample          50 OK it match: a = 0x449b:4.60546875000000000000e+00; b = 0x22e6:1.34735107421875000000e-02; z = 0x449e:4.61718750000000000000e+00, expt = 0x449e:4.61894226074218750000e+00
  368 ns sample          51 ERROR they don't match: a = 0x1b5b:3.59153747558593750000e-03; b = 0x9273:-7.87258148193359375000e-04; z = 0x19c0:2.80761718750000000000e-03, expt = 0x19be:2.80427932739257812500e-03
  372 ns sample          52 OK it match: a = 0x7002:8.20800000000000000000e+03; b = 0xcba:2.88486480712890625000e-04; z = 0x7002:8.20800000000000000000e+03, expt = 0x7002:8.20800028848648071289e+03
  376 ns sample          53 OK it match: a = 0x60e0:6.24000000000000000000e+02; b = 0x4a7d:1.29765625000000000000e+01; z = 0x60fa:6.37000000000000000000e+02, expt = 0x60fa:6.36976562500000000000e+02
  380 ns sample          54 OK it match: a = 0x5c8d:2.91250000000000000000e+02; b = 0xaa3c:-4.87060546875000000000e-02; z = 0x5c8d:2.91250000000000000000e+02, expt = 0x5c8d:2.91201293945312500000e+02
  384 ns sample          55 OK it match: a = 0x8d88:-3.37600708007812500000e-04; b = 0x23b3:1.50375366210937500000e-02; z = 0x2387:1.47018432617187500000e-02, expt = 0x2387:1.46999359130859375000e-02
  388 ns sample          56 OK it match: a = 0x407e:2.24609375000000000000e+00; b = 0x9a9:1.72734260559082031250e-04; z = 0x407e:2.24609375000000000000e+00, expt = 0x407e:2.24626648426055908203e+00
  392 ns sample          57 OK it match: a = 0x381e:5.14648437500000000000e-01; b = 0x788:1.14917755126953125000e-04; z = 0x381e:5.14648437500000000000e-01, expt = 0x381e:5.14763355255126953125e-01
  396 ns sample          58 OK it match: a = 0x1826:2.02560424804687500000e-03; b = 0xf047:-8.76000000000000000000e+03; z = 0xf047:-8.76000000000000000000e+03, expt = 0xf047:-8.75999797439575195312e+03
  400 ns sample          59 OK it match: a = 0xc0b4:-2.35156250000000000000e+00; b = 0xa5f2:-2.32238769531250000000e-02; z = 0xc0c0:-2.37500000000000000000e+00, expt = 0xc0c0:-2.37478637695312500000e+00
  404 ns sample          60 OK it match: a = 0xa5d4:-2.27661132812500000000e-02; b = 0xeec1:-6.91600000000000000000e+03; z = 0xeec1:-6.91600000000000000000e+03, expt = 0xeec1:-6.91602276611328125000e+03
  408 ns sample          61 OK it match: a = 0x3f17:1.77246093750000000000e+00; b = 0x67db:2.01100000000000000000e+03; z = 0x67dd:2.01300000000000000000e+03, expt = 0x67dd:2.01277246093750000000e+03
  412 ns sample          62 OK it match: a = 0x5fa3:4.88750000000000000000e+02; b = 0x4e95:2.63281250000000000000e+01; z = 0x6006:5.15000000000000000000e+02, expt = 0x6006:5.15078125000000000000e+02
  416 ns sample          63 OK it match: a = 0x9100:-6.10351562500000000000e-04; b = 0x78f6:4.06400000000000000000e+04; z = 0x78f6:4.06400000000000000000e+04, expt = 0x78f6:4.06399993896484375000e+04
  420 ns sample          64 ERROR they don't match: a = 0x80b5:-1.07884407043457031250e-05; b = 0x1faf:7.50350952148437500000e-03; z = 0x1fae:7.49969482421875000000e-03, expt = 0x1fac:7.49272108078002929688e-03
  424 ns sample          65 ERROR they don't match: a = 0x5230:4.95000000000000000000e+01; b = 0xc9e7:-1.18046875000000000000e+01; z = 0x50b8:3.77500000000000000000e+01, expt = 0x50b6:3.76953125000000000000e+01
  428 ns sample          66 OK it match: a = 0xac3:2.06351280212402343750e-04; b = 0x28d0:3.75976562500000000000e-02; z = 0x28d7:3.78112792968750000000e-02, expt = 0x28d7:3.78040075302124023438e-02
  432 ns sample          67 OK it match: a = 0xe036:-5.39000000000000000000e+02; b = 0x106:1.56164169311523437500e-05; z = 0xe036:-5.39000000000000000000e+02, expt = 0xe036:-5.38999984383583068848e+02
  436 ns sample          68 OK it match: a = 0xb485:-2.82470703125000000000e-01; b = 0xfac9:-5.55840000000000000000e+04; z = 0xfac9:-5.55840000000000000000e+04, expt = 0xfac9:-5.55842824707031250000e+04
  440 ns sample          69 OK it match: a = 0x5713:1.13187500000000000000e+02; b = 0x8fa2:-4.65869903564453125000e-04; z = 0x5713:1.13187500000000000000e+02, expt = 0x5713:1.13187034130096435547e+02
  444 ns sample          70 ERROR they don't match: a = 0xfce1:0.00000000000000000000e+00; b = 0xde30:-3.96000000000000000000e+02; z = 0xfce7:0.00000000000000000000e+00, expt = 0xde30:-3.96000000000000000000e+02
  448 ns sample          71 OK it match: a = 0x9178:-6.67572021484375000000e-04; b = 0x9d0e:-4.93621826171875000000e-03; z = 0x9dbd:-5.60379028320312500000e-03, expt = 0x9dbd:-5.60379028320312500000e-03
  452 ns sample          72 OK it match: a = 0x1e62:6.23321533203125000000e-03; b = 0xe0a7:-5.95500000000000000000e+02; z = 0xe0a7:-5.95500000000000000000e+02, expt = 0xe0a7:-5.95493766784667968750e+02
  456 ns sample          73 OK it match: a = 0x2ad1:5.32531738281250000000e-02; b = 0x165d:1.55353546142578125000e-03; z = 0x2b04:5.48095703125000000000e-02, expt = 0x2b04:5.48067092895507812500e-02
  460 ns sample          74 OK it match: a = 0x17e6:1.92832946777343750000e-03; b = 0xce3f:-2.49843750000000000000e+01; z = 0xce3f:-2.49843750000000000000e+01, expt = 0xce3f:-2.49824466705322265625e+01
